gene_name,b_number,Ref_seq,WG_1.11,WGM_0.62,WGMC_0.62,WHIC_0.35,Pearson,Slope
spy,b1743,WP_001228984.1,0.16692074,0.64011737,0.697885288,2.167257188,-0.857143019,-2.344095083
nagB,b0678,WP_001237072.1,0.972255633,5.861011738,5.813872198,6.393741816,-0.952274152,-7.634275528
yceK,b1050,WP_001237205.1,0.072987366,0.482221515,1.389030664,2.051629554,-0.871158628,-2.452472485
amyA,b1927,WP_001245695.1,0.268925571,0.989701772,1.076668663,1.843924866,-0.973807683,-1.980536165
ydcL,b1431,WP_001261013.1,0.112004636,0.458131104,0.896036395,1.702598916,-0.887847142,-1.924565781
csgF,b1038,WP_001264088.1,-1.558016801,2.119778494,1.179676551,2.304455455,-0.949629435,-5.344484409
ypfG,b2466,WP_001270542.1,0.068670526,0.953934338,0.194162193,1.866410159,-0.812833834,-2.126477009
ymdF,b4518,WP_001273658.1,0.559473548,1.652490025,2.14937833,4.336659188,-0.911971272,-4.570109678
prpD,b0334,WP_001275859.1,1.02350377,2.329507886,1.628757349,3.237058434,-0.911685511,-2.740194213
ydgJ,b1624,WP_001282550.1,-0.245008123,0.020208399,0.389480884,1.091190885,-0.878142181,-1.607671924
prpC,b0333,WP_001285927.1,0.728396835,2.308825282,1.557819576,3.508374766,-0.923750498,-3.443119451
yjgR,b4263,WP_001294573.1,0.246768991,0.541580443,0.582635801,1.75152156,-0.829767636,-1.74055131
degQ,b3234,WP_001295271.1,-0.460006141,0.188446895,0.420640607,0.721936306,-0.981995345,-1.556104298
ompX,b0814,WP_001295296.1,-0.314023282,1.021777867,0.774439154,1.433800594,-0.988706193,-2.330931394
psiF,b0384,WP_001295332.1,-0.329217648,0.523322892,0.61263092,1.811514055,-0.949731089,-2.640176817
yebV,b1836,WP_001295499.1,1.230441999,2.032929401,1.812545356,2.917703717,-0.938816837,-2.075482055
yqjC,b3097,WP_001295543.1,-0.054893227,0.697875864,0.959913781,1.156274993,-0.97332164,-1.63126074
ymgD,b1171,WP_001295611.1,-0.154642932,0.547599904,0.511602147,1.230909768,-0.977574013,-1.746664882
