Name,gene,locus_tag,Stationary rep1,Stationary rep2,Stationary rep3,3h fresh media rep1,3h fresh media rep2,3h fresh media rep3,3h queueing rep1,3h queueing rep2,3h queueing rep3,3h amp media rep1,3h amp media rep2,3h amp media rep3,3h queueing amp rep1,3h queueing amp rep2,3h queueing amp rep3,6h amp media rep1,6h amp media rep2,6h amp media rep3
yhdJ CDS,yhdJ,b3262,0,9.5,4,1182,768.5,59,56.5,517,102,676,895,194.5,247.5,141,136,8.5,19.5,26.5
yhdN CDS,yhdN,b3293,8,2.5,7.5,414.5,284.5,890,527,328.5,4006.5,445.5,532,4121,383.5,3043.5,2832.5,136,133,164
yhdP CDS,yhdP,b4472,40,18,43.5,7050.5,4029.5,2533,503,3115.5,3238.5,3403,6342,6170,1626,4394.5,4829.5,405.5,488.5,625.5
yhdT CDS,yhdT,b3257,0,0,4,285.5,182.5,42.5,20,142.5,91.5,156,214,160,64,138.5,175,22.5,27,35.5
yhdU CDS,yhdU,b3263,0,0,0,117.5,58,10.5,1.5,46,12,20.5,20,20,21.5,12,12.5,5,12.5,14.5
yhdV CDS,yhdV,b3267,0,1,0,347,156,12,5,198,13,135,211,85,86,34,10,83,51,54
yhdW CDS,yhdW,b3268,6,2,7.5,1450.5,854,152.5,37,699.5,155.5,519,883,313.5,343,242.5,109.5,19.5,12,29
yhdX CDS,yhdX,b3269,2,0,12.5,1475,749,76,47,691.5,148.5,642.5,1095,279.5,285.5,149,68,22.5,31,32
yhdY CDS,yhdY,b3270,0,0,7,1129,559,51,20.5,390,114,383.5,550.5,158.5,191.5,115,78.5,11,4.5,14.5
yhdZ CDS,yhdZ,b3271,0,3,9,1344.5,592,128.5,28.5,408,179,343,510.5,243.5,229,201.5,119,29,23.5,40.5
yheO CDS,yheO,b3346,18,7.5,12.5,1461,847,3143,511,782.5,2609,618,2956,5371,861,3816.5,3662,191.5,190.5,236
yheS CDS,yheS,b3352,11,14.5,23,4849.5,2627.5,5150,715.5,2611,6149,2852,5803,10724,1710.5,7740.5,7779.5,331.5,324,450
yheT CDS,yheT,b3353,6,5,8,2105.5,1005,1175,161,958.5,1536,902.5,2029.5,3047.5,423.5,2129.5,2273.5,83.5,105,109
yheU CDS,yheU,b3354,0.5,2.5,6,528.5,260.5,283,73.5,297.5,371,337,717,671,167.5,438.5,466,30,43,50.5
yheV CDS,yheV,b4551,3.5,6,3,484,243,559,38.5,244,494,238,744,759.5,176.5,678.5,515.5,46,36,47
yhfA CDS,yhfA,b3356,6,3.5,1,894,547,715.5,83,420,901,365.5,1013,1621.5,310.5,1034.5,891,146,142.5,160
yhfG CDS,yhfG,b3362,4.5,1.5,9,246,197,346,58,139.5,452,129.5,408.5,550.5,118.5,458.5,356,31.5,29.5,27
yhfK CDS,yhfK,b3358,17.5,4.5,11.5,3710,1959.5,707.5,186,1690.5,875,1628,2739,2105,864,1221.5,1097,311,269,382
yhfL CDS,yhfL,b3369,1,0,2,188,70,16,1,61,8,52,61,25,33,19,20,4,6,0
yhfS CDS,yhfS,b3376,6.5,4,12,3044,1496.5,371.5,54,1095.5,412,1029.5,1722.5,554.5,594.5,408.5,395,67.5,81.5,87
yhfT CDS,yhfT,b3377,3.5,3,14,2683.5,1441.5,198,52.5,1060,322.5,1140,1487.5,561,417.5,352,304,56,60.5,69
yhfU CDS,yhfU,b3378,0,0,3,590.5,318.5,73.5,13,288,78.5,202.5,366.5,115,117.5,117,87,10,15.5,33
yhfW CDS,yhfW,b3380,0,18,4.5,2410,1477.5,82,22,914.5,92.5,716,1026.5,166.5,420,105.5,94,73,43,51
yhfX CDS,yhfX,b3381,0,12,10,2175.5,1299,72,11,795,39,920,1137,151.5,356,94.5,45.5,55,57.5,57
yhfY CDS,yhfY,b3382,2,1,3.5,596.5,367,45.5,5.5,214.5,49.5,137.5,259.5,112,102,57,57.5,27.5,40,36
yhfZ CDS,yhfZ,b3383,17,4,13,1883.5,870,235,14.5,553.5,186,615.5,1012.5,331,297.5,228.5,159.5,67.5,102.5,116.5
yhgE CDS,yhgE,b3402,6,7.5,28,2875,1839.5,373,151,980,827.5,901,1316.5,1016,603,745.5,614,121,115.5,68
yhgF CDS,yhgF,b3407,13,29.5,39,6279.5,3691.5,9615,679,2546.5,11688,2819.5,10309.5,15469,1862.5,11531,13508.5,1877,1998,3273
yhgH CDS,yhgH,b3413,0,5,12.5,1487,900.5,640,220.5,580.5,1168,587.5,1259,1905,441,1180,926,109,113.5,141
yhgN CDS,yhgN,b3434,4,7,2.5,1055,735,897.5,82.5,479,934.5,431.5,937,1007.5,295.5,720,526,137,119,183
yhhA CDS,yhhA,b3448,63.5,34,17,971,563,397,95.5,432,685,380.5,1027,1074.5,257,727,680,471.5,422.5,424
yhhH CDS,yhhH,b3483,0,0,0,92.5,91,51.5,13,104,53.5,42,224.5,218,42.5,141.5,162.5,6.5,17.5,7.5
yhhI CDS,yhhI,b3484,2,2,7,1214,812,68,33,687,73,455,832,538,184,171,194,20,15,19
yhhJ CDS,yhhJ,b3485,8,5,16.5,2398,1294.5,529,46.5,892,470,1038.5,1804.5,687,472.5,407,311,97.5,102.5,135.5
yhhL CDS,yhhL,b3466,2,2.5,0,467,233.5,151.5,16.5,193,229.5,172,332,373,121.5,262.5,227.5,34.5,34,25.5
yhhM CDS,yhhM,b3467,5,0,9,1288,781,164,37,513.5,274,578.5,959,452,306.5,292,269.5,33,56.5,36.5
yhhN CDS,yhhN,b3468,6,4.5,5,1645,1065.5,321.5,84.5,529,389,535.5,903.5,1037.5,401.5,471,527.5,297.5,391,475.5
yhhQ CDS,yhhQ,b3471,5,6,14.5,1792.5,1235.5,316,185.5,953.5,365.5,790,1165.5,636.5,471.5,404,369,336,249.5,269.5
yhhS CDS,yhhS,b3473,10,12,29,3626.5,1918,1535.5,295.5,1333.5,2202.5,1907.5,3409,5142,774.5,3414,3641.5,227,240.5,226
yhhT CDS,yhhT,b3474,11.5,10,13,2013,1232,366,67,672,472.5,687.5,1263.5,916.5,390.5,682.5,579.5,135,135.5,128.5
yhhW CDS,yhhW,b3439,12,2,3,1600,907.5,494,154,628,821.5,500.5,1138,1601.5,383.5,1113,927.5,112,104,147
yhhX CDS,yhhX,b3440,21,12,18,2194,1352.5,1955,1004,883,2862.5,1356.5,2652,6738.5,872.5,4961,4535.5,403,287,424
yhhY CDS,yhhY,b3441,3,0,0,695,514,46,12,333,52,248,375,217,169,106,81,15,11,14
yhhZ CDS,yhhZ,b3442,4,2,0,90,118,4.5,6.5,151.5,19,48.5,197,606.5,22.5,77,171.5,0,0,4
yhiD CDS,yhiD,b3508,2,8,6,903.5,417.5,536,40,212.5,91.5,182,883.5,96,329.5,48.5,53,7,13.5,3.5
yhiI CDS,yhiI,b3487,16,17,23,4130,2000.5,2743.5,133.5,1508,3606.5,1601,3138,2924.5,778.5,1992,2566.5,383.5,467,465
yhiJ CDS,yhiJ,b3488,0,0,5,363,336,76,24,290,134,202,454,390,89,144,173,12,20,11
yhiL CDS,yhiL,b4660,0,0,2,91,102,40,10,127,20,43,228,581,39,163,100,4,5,2
yhiM CDS,yhiM,b3491,3,8,6,1063,770,168,39,457,133,464,791,202,286,148,106,12,20,8
yhiN CDS,yhiN,b3492,12,7,14,2487,1459,1152,196,977,1164,1078,1748,1594,665,1102,1294,133,141,142
yhiS CDS,yhiS,b3504,4.5,1,2,354,279.5,51.5,14.5,238.5,72,151.5,450,564.5,103,174,111,5,5.5,5.5
yhjB CDS,yhjB,b3520,2,4.5,10,1246.5,715.5,213.5,34.5,620.5,390,680,1862.5,877,237,694.5,524.5,46,54.5,47
yhjC CDS,yhjC,b3521,5,7,7,1619.5,1181,142,39,794,437.5,833,1143.5,555,318.5,382,280.5,20,32,51.5
yhjD CDS,yhjD,b3522,107,69,57,2851.5,1721,303,80,1456,764.5,1796,3145.5,1479,653.5,893,570.5,150,157,165.5
yhjE CDS,yhjE,b3523,8,30,28,3988,2220,1071,280,1386,2059,1825,2441,2764,792,1716,1375,652,743,865
yhjG CDS,yhjG,b3524,113.5,11,62.5,5552.5,3245,2808.5,329.5,2386.5,4475.5,2389,5755,5810.5,1347.5,3817.5,3054.5,279.5,310,319
yhjJ CDS,yhjJ,b3527,20,16,40.5,4420,2616,8101.5,1198,1863.5,9014,1899,6146,10332,2303.5,8093,9022,915,957,1221.5
yhjR CDS,yhjR,b3535,1,1.5,0.5,92.5,113,68,28.5,77,97.5,60,87,140.5,37.5,88.5,71,11.5,10,14.5
yhjV CDS,yhjV,b3539,10,4,14,1975.5,1491,377,248,977,298,1096,1364,1025.5,590,611,593,46.5,48.5,65
yhjX CDS,yhjX,b3547,7,13,21,2258,1593,124,18,853,174,763,1045,433,311,280,102,131,133,98
yhjY CDS,yhjY,b3548,60,71,36,1383,1012,474,88,670,836,567,1127,1059,310,641,421,300,331,307
yiaA CDS,yiaA,b3562,0,0,4.5,311.5,312,0,11.5,114.5,2,48,83,31,47.5,9.5,14.5,10,4,16
yiaB CDS,yiaB,b3563,0,2,11,315,298,9,7.5,161,6,147,145,55.5,65,27,19,21,21.5,17
yiaC CDS,yiaC,b3550,0.5,0,9,881,549,445.5,56.5,425,455.5,469,769,716,208.5,520.5,522,38,43.5,45
yiaD CDS,yiaD,b3552,10.5,1,19.5,2053,1351,372.5,56,847,599.5,680.5,1891.5,2068.5,387.5,1591.5,1807.5,1551.5,1250,1754.5
yiaF CDS,yiaF,b3554,21,16,25,1611.5,977.5,5866.5,479,705,6809.5,641,3558,7424,895.5,5239.5,3839.5,1241.5,1044,1255
yiaG CDS,yiaG,b3555,25,13,9,780,484,623,356,322,763,313,1214,1549,440,978,473,53,45,78
yiaJ CDS,yiaJ,b3574,12,8,12,2361.5,1460.5,1462,156,820.5,1980.5,767,1964.5,2244.5,609.5,1398,1291.5,184,156,188.5
yiaK CDS,yiaK,b3575,0.5,0,9,1739,1191,27,19,793.5,105.5,708.5,1204,132.5,336,108,42,13,14.5,14
yiaL CDS,yiaL,b3576,1.5,0,8,564,394,13,5,469.5,21,656,1000.5,109.5,140.5,67,22.5,6,3.5,2
yiaM CDS,yiaM,b3577,2,2,2,500,412,4,0,298,11,179.5,375,70,82.5,24,15.5,2,3,0
yiaN CDS,yiaN,b3578,12,7,15,2646,1575.5,14,14,986,40.5,1178.5,1880,195,426,110.5,46.5,4,18,6
yiaO CDS,yiaO,b3579,2.5,3,2.5,2256,1382.5,15.5,4.5,883.5,22.5,889.5,1359,115,391.5,64.5,32,2,3,11
yiaT CDS,yiaT,b3584,2,0,2,1102,759.5,53,14,342,96,290,503,278.5,205,124,139.5,12,11,23
yiaU CDS,yiaU,b3585,0,2,3.5,1279.5,886,116,33.5,534.5,80.5,493.5,888,346.5,227,165,145.5,10.5,14,17
yiaV CDS,yiaV,b3586,2,4.5,9,2446.5,1545,84.5,11.5,989.5,152,799,1557.5,207.5,443,151,101,9.5,10,29
yiaW CDS,yiaW,b3587,0,0.5,4.5,506,278.5,4.5,4,183,13.5,178.5,330.5,94.5,84,17,15,0,1,2
yiaY CDS,yiaY,b3589,7,13,5,2341,1583,30,8,882,35,814,1279,177,409,87,21,4,2,6
yibA CDS,yibA,b3594,10,3,16.5,332.5,213.5,208,83.5,195.5,530,220,548,675.5,144.5,524,422.5,37.5,37,31.5
yibF CDS,yibF,b3592,2,8,9,1416.5,831.5,435.5,120,629,511.5,513,1062.5,865.5,337,599,544.5,88.5,112,135.5
yibG CDS,yibG,b3596,2,0,3,67.5,86.5,29.5,21,73.5,25,41.5,84,74,16,59.5,50,3,4,5.5
yibH CDS,yibH,b3597,1,8,17,2454.5,1392,144,17.5,941,210.5,1025.5,1593.5,298.5,419.5,248,144.5,32,25.5,72
yibI CDS,yibI,b3598,3,6,10,760.5,458,17,6.5,268,32.5,290.5,561.5,97.5,134.5,38,25.5,3,6.5,17
yibJ CDS,yibJ,b3595,3,1,6,1205,652,109,45,441.5,260.5,529.5,831.5,409,183.5,285.5,269,41,27.5,66
yibL CDS,yibL,b3602,4,0,8,649,431,320,235,382,447,350,613,1203,290,534,339,117,118,129
yibN CDS,yibN,b3611,9,7,11,1147.5,755,3971.5,568.5,629.5,5142.5,720.5,2341,5703,1117,4006,3177,610.5,623.5,867
yibQ CDS,yibQ,b3614,2.5,3,10.5,1967,1134,907,201,734.5,650.5,727.5,1476.5,1858.5,522.5,1085,1434,152,143.5,185.5
yibS CDS,yibS,b4650,0,0,2,98.5,83.5,10.5,4,66.5,12,80.5,76,40,27,26.5,14,5,5,3.5
yibT CDS,yibT,b4554,149.5,112,48.5,438.5,264,453,46,202,423.5,229,646.5,501,179.5,319.5,234,555,484,490.5
yibV CDS,yibV,b4615,0,0,2,55,79,10,7,57,10,53,135,143,5,51,21,7,0,2
yicC CDS,yicC,b3644,10,12,12,2994,2118.5,8969.5,1153,1541.5,9046,1616,5002.5,10228.5,2248.5,7241.5,6167.5,821.5,620.5,812
yicG CDS,yicG,b3646,2,3.5,15.5,1694,931,129.5,58,659,368.5,741,1406,444.5,330,378.5,235.5,73,63,55
yicH CDS,yicH,b3655,82,14.5,20.5,4080.5,2460.5,2131,451,1573.5,3555,1982,3653,4761,1047.5,3401.5,3648.5,417.5,396.5,537.5
