Name,gene,locus_tag,Stationary rep1,Stationary rep2,Stationary rep3,3h fresh media rep1,3h fresh media rep2,3h fresh media rep3,3h queueing rep1,3h queueing rep2,3h queueing rep3,3h amp media rep1,3h amp media rep2,3h amp media rep3,3h queueing amp rep1,3h queueing amp rep2,3h queueing amp rep3,6h amp media rep1,6h amp media rep2,6h amp media rep3
dacD CDS,dacD,b2010,11,2,18,1345.5,883,410.5,128,671.5,575.5,723.5,795,1108,383,732,618.5,60,38,70.5
dadA CDS,dadA,b1189,274,47,43.5,4672,2529,25041,1041.5,1472.5,28030,2140,16631.5,32369,2563.5,23117,21922.5,1171,1040,1082.5
dadX CDS,dadX,b1190,98,16,34.5,3889,1926,14322,594.5,1102.5,12818,1736,8925.5,15027,1996.5,11118,12095.5,518,475,555.5
dam CDS,dam,b3387,6.5,1,11,1247,767.5,1843.5,338.5,600.5,2110,737,1892.5,3941.5,628.5,2615.5,2380,200,232,254
damX CDS,damX,b3388,32.5,16.5,44,4309,2126,11520.5,1364.5,1732,14079.5,2117.5,7870.5,18136,2290,13723.5,12904,1054.5,1157.5,1563.5
dapA CDS,dapA,b2478,9,10,26.5,3354.5,2011.5,20014.5,1608.5,1590,22719.5,1971.5,10320,24820,2808,19512.5,18350.5,1935.5,2065.5,2471
dapB CDS,dapB,b0031,8,0,8,1513,783,2882,256,590,3681,789,2210,3999,586,3277,2156,449,446,577
dapD CDS,dapD,b0166,10.5,3,13.5,2006.5,984.5,6708.5,477,925.5,9309.5,1082,5744.5,9556.5,1050,7998,6019,956.5,983,1455.5
dapE CDS,dapE,b2472,20.5,18.5,20.5,1912,999.5,2491,193,683.5,3355,746.5,2074.5,4022.5,595.5,2679,2561.5,202,188.5,229.5
dapF CDS,dapF,b3809,10.5,11,19.5,2641,1214,8340.5,1070.5,1170.5,9318.5,1655.5,5215.5,13059.5,1687,9530.5,10184,982.5,1061,1477.5
dauA CDS,dauA,b1206,230.5,355,714.5,2834.5,1694.5,597,173.5,1341,830.5,1124,1595.5,1763,654,1096,917.5,440,403.5,455
dbpA CDS,dbpA,b1343,9,11.5,9,2269.5,1359,887,212,1241.5,1276.5,1263,2118.5,3150.5,734,2252,2037,79,95.5,121
dcd CDS,dcd,b2065,4,6,15.5,1583.5,841,1311.5,182.5,796,1550.5,830,1641.5,2793.5,472,2106,1759.5,257.5,230,245
dcm CDS,dcm,b1961,16,7.5,13.5,2131,1245.5,1836.5,250,1285,2092,1540,2497.5,4268.5,652.5,3211,3042.5,79,75,83
dcp CDS,dcp,b1538,21,12,32,4371,2282,6787.5,763,1871.5,7763,2642,6749.5,10060,1658.5,8047,7570,682,743,994.5
dcrB CDS,dcrB,b3472,31,8,8.5,1394,858.5,1827.5,125.5,627,1758,543,1824,3017,441,2068,1774,1442,1188,1603.5
dctA CDS,dctA,b3528,87,62,31,2716,2321,3493,177,883,1072,717,2151,1802,2100,1007,1002,1189,1115,1281
dctR CDS,dctR,b3507,0,2,2,340,238.5,155,42,185,33,103,376.5,137.5,132.5,61.5,34,1,4.5,6.5
dcuA CDS,dcuA,b4138,10,25,32,3717,2018,6500.5,1117.5,1150,10865.5,1222.5,5885.5,11339.5,2055,6482,5365.5,1956,1974.5,2471
dcuB CDS,dcuB,b4123,8.5,13,25,2692,1719.5,118.5,32.5,1094.5,149,991.5,1406.5,322.5,478.5,186.5,116,47,45,55
dcuC CDS,dcuC,b0621,10,2,11,1344,1033.5,140,60.5,868,217,821,946,528.5,371.5,331,350.5,26,41,22
dcuD CDS,dcuD,b3227,3.5,9,12,2064.5,1206,117,25.5,879.5,159,915,1157,374,449.5,223,195.5,32.5,27,19.5
dcuR CDS,dcuR,b4124,0.5,1,6.5,907.5,724,167,41.5,417,232.5,323.5,534,487.5,228.5,273.5,258.5,48,39,64
dcuS CDS,dcuS,b4125,9.5,2,18.5,2090.5,1647,654,167.5,1109,762.5,890.5,1625,1127.5,537.5,837.5,723.5,142,90,182
dcyD CDS,dcyD,b1919,27,15,16,1708,762,1769,243,615.5,2801,763,1732.5,3543.5,522,2270,1948.5,214,240.5,237.5
ddlA CDS,ddlA,b0381,22,14,14.5,1946,1089,5401.5,405.5,904.5,6336,1224.5,3493,6293,989,4641,4047.5,403.5,334,481
ddlB CDS,ddlB,b0092,9.5,8.5,13.5,1566.5,918.5,6277.5,645,875.5,6945.5,1117.5,4743.5,10928,1145.5,8152,8813,776.5,968.5,1222
ddpA CDS,ddpA,b1487,9,6,20.5,2012,1224.5,116.5,22,708,235.5,786.5,772.5,379.5,418.5,300.5,194.5,25.5,23,21
ddpB CDS,ddpB,b1486,0,8,9,1357,954.5,64.5,13.5,546.5,137.5,711,697.5,289.5,239.5,140,110,10.5,15.5,26
ddpC CDS,ddpC,b1485,9,5,7.5,1758.5,990,139,29.5,628.5,269,787,654.5,408,322,263,269,20.5,18.5,18
ddpD CDS,ddpD,b1484,4,7,7,1406.5,811,161,24,438,272.5,540.5,669.5,477.5,252.5,354,263,23.5,19,15.5
ddpF CDS,ddpF,b1483,11,0,11.5,1492,966,411.5,121,656,1336,517,1092,2234.5,323.5,1443.5,1128,113.5,138.5,104.5
ddpX CDS,ddpX,b1488,0,1,6,952,517.5,40,22,313,82.5,303,254,116.5,144.5,85,70.5,9,12,6
deaD CDS,deaD,b3162,49.5,21.5,115.5,6558.5,6833,62542.5,6472.5,10285,42833,9083,28856,106090.5,10674,84959.5,116197,3616.5,2905.5,4042
decR CDS,decR,b0447,31.5,32.5,10.5,809,550.5,556,327.5,583,828.5,561,1048.5,2887,368,1515.5,1391.5,48.5,54.5,107
dedA CDS,dedA,b2317,6,9,23,1601,1201.5,4422.5,530.5,1418.5,4085,1390,5017.5,10490,1033.5,8313,9495,1822.5,1899,2931
dedD CDS,dedD,b2314,61,7.5,21,1678.5,868,3320,165.5,752,4075.5,899.5,2991.5,5893,541,4793,4074,362,414,560.5
def CDS,def,b3287,29.5,13,24,2573,612.5,6889,2137,612.5,13849,902,7367,14125,1810.5,10455,7132.5,415.5,382,491
degP CDS,degP,b0161,54,21,29,3282,1343.5,6448.5,180.5,929.5,4853,1064.5,3479,2243.5,926.5,1718.5,1209.5,13311,11780,13557
degQ CDS,degQ,b3234,10,12,9,2274,1298,1513,234.5,1024,1593.5,1139,2383.5,2624.5,664.5,1914.5,1799.5,560,678.5,938.5
degS CDS,degS,b3235,2,8,6,1396.5,969.5,834,172,731,874.5,697,1222,1746.5,440,1172,1138,132,149,190.5
deoA CDS,deoA,b4382,38.5,28,35,3314.5,1955,4068,383,1484,6344,1505,4658.5,6092,899,4226,4119.5,428,394.5,452.5
deoB CDS,deoB,b4383,144,28,39.5,3913.5,2255.5,13541,1150.5,1490,22401.5,1556,10678.5,21729.5,2187.5,14729,14336.5,1651.5,1315,1716.5
deoC CDS,deoC,b4381,15,4,19,1578,982,975,137,597.5,2174.5,676,1573,2776.5,392,1526.5,1253,383.5,293.5,317.5
deoD CDS,deoD,b4384,20.5,19,17.5,2483,1495.5,5108,679.5,990.5,6771,1035,4362,6911,1432.5,4732.5,4195,840,652,947.5
deoR CDS,deoR,b0840,5.5,2,6,1350.5,861,722,168.5,907,1053,1021.5,1665.5,2115.5,454,1572,1131.5,184.5,279.5,330
der CDS,der,b2511,34.5,15,30.5,2561.5,1754,10695,972,1464,10872.5,1595,7318.5,15737,2019.5,11525.5,11299,1417.5,1344.5,1762.5
dfp CDS,dfp,b3639,5,3,12,3265.5,2010.5,1791,298.5,1514,1775.5,1754.5,4155,3336,1270,1884,1469.5,281.5,287.5,414.5
dgcC CDS,dgcC,b0385,1,3,9.5,1924,1015,145.5,77.5,762.5,390.5,709.5,984,618,410.5,397.5,309,39.5,31,40.5
dgcE CDS,dgcE,b2067,20.5,27,37,4864,2987,736,272.5,2045,1026.5,2017.5,2369,2065.5,1028,1556.5,1413,87.5,108.5,147.5
dgcF CDS,dgcF,b1522,4,5.5,15,1313.5,895.5,253,86,567,483,609.5,733,1236.5,293.5,863,914,23,17.5,22
dgcI CDS,dgcI,b0834,2,2,8.5,1231.5,927,43.5,42,555.5,71.5,416,508,257.5,221.5,131,108,9.5,14,8
dgcJ CDS,dgcJ,b1786,2,3,17,1285.5,944,269.5,89.5,665.5,311.5,687,695,547,363,360.5,298,62.5,93.5,94.5
dgcM CDS,dgcM,b1341,6,3.5,13.5,1628.5,893.5,852.5,293.5,719.5,1690,860.5,1017.5,1860.5,549.5,1397.5,710.5,43,52,35.5
dgcN CDS,dgcN,b2604,3,0,1.5,1076.5,697.5,251,71.5,520.5,284,487,516,627.5,319.5,486.5,561.5,103,55,89.5
dgcP CDS,dgcP,b1794,2,7,7,1352.33,822.67,1447.5,449.83,992,1613.5,1351.67,1984.83,5130.33,679.33,4074.33,3840.83,114.83,66.17,94.67
dgcQ CDS,dgcQ,b1956,28.5,23,41.5,2611.5,1692.5,1329.5,351,1170,2437.5,1298.5,2115.5,3911,851,2825.5,2257.5,184.5,161.5,159
dgcT CDS,dgcT,b1025,1,3,3,555.5,417.5,67.5,40,317,81,261.5,366.5,337.5,133,136,176,27.5,7,17
dgcZ CDS,dgcZ,b1535,4,10,7,832,700,746,241,529,615,371,643,1129,384,844,896,761,712,725
dgkA CDS,dgkA,b4042,3.5,5,7,550,367,674,86,272,960,254,726.5,1064.5,205.5,663.5,556,149.5,133,175
dgoA CDS,dgoA,b4477,1.5,8,11.5,2312.5,1236,147,27.5,979.5,238,797.5,2079.5,344,381.5,279.5,242.5,22,20,21.5
dgoD CDS,dgoD,b4478,9.5,10.5,23,3225,1897,218,42,1097.5,350,1336,2383.5,555.5,577,424.5,300.5,35,46,20
dgoK CDS,dgoK,b3693,6.5,6,9,2377,1413.5,283.5,37.5,947,427,788,1678.5,572,425.5,400.5,410.5,39.5,51.5,63
dgoR CDS,dgoR,b4479,8.5,5.5,11.5,1167,773.5,366.5,35,398.5,587,393,849.5,519.5,185.5,488,389.5,50.5,58.5,88.5
dgoT CDS,dgoT,b3691,7.5,5,12,3014,2114.5,82.5,29,1240.5,117.5,1308,2036,311.5,636.5,187.5,108.5,37,37.5,51
dgt CDS,dgt,b0160,2,6,7,1724.5,1233,917,86,816.5,780.5,853,1555.5,1140,455,784.5,759.5,59,104,112.5
dhaK CDS,dhaK,b1200,17,12,34.5,2960,2316.5,7762,427.5,698,7372,941.5,11503,3964,5266.5,3285.5,2684,970.5,952.5,1107.5
dhaL CDS,dhaL,b1199,2,9,24.5,1574.5,1341,4812.5,286.5,524,4567,678.5,7396,2734,2509,2166.5,1828.5,510.5,470,617.5
dhaM CDS,dhaM,b1198,9,17,26,3374.5,2467.5,6022.5,678,864,6157,952,8979,4130,4591.5,3149,2451.5,632,594.5,892
dhaR CDS,dhaR,b1201,15,20,23,2864,1654.5,401.5,96.5,1368,1129.5,1545,1745.5,1336,662.5,998,693,74,79,80
diaA CDS,diaA,b3149,6,0.5,9.5,1253.5,703,1686,256,518.5,1716,544.5,1316.5,3138,473.5,2075,2156.5,419,414.5,582
dicA CDS,dicA,b1570,0,0,11,347,316,322,268,252.5,238,181,348,664.5,408,316,342,64,72,52
dicB CDS,dicB,b1575,0,1,4,78.5,82,9.5,0,29,12,23,28,14,14,5.5,4,0,2,0.5
dicC CDS,dicC,b1569,0,0.5,0,124,97,2.5,0,51,12,42.5,38,19,32,4,5.5,0,0,0
dinB CDS,dinB,b0231,35,11,17.5,2157.5,1271.5,393,53,1071,510,1354.5,1983.5,929.5,417.5,678.5,565,54.5,62.5,68
dinD CDS,dinD,b3645,2,0,4,1124,770,363,130,429,390,335,619,760,360,562,665,37,24,33
dinF CDS,dinF,b4044,6,14.5,25.5,3193,1812.5,230.5,60,1417,366.5,1466.5,2351.5,810.5,633.5,613,633.5,95.5,95,75.5
dinG CDS,dinG,b0799,35,15,56,3474,2017.5,2028,219.5,2200,1800.5,2163,3673,4924.5,925,3683,4511.5,114,159,158
dinI CDS,dinI,b1061,0.5,3.5,0,322.5,186.5,199,51,263,186,283,427.5,636,163.5,365,285,29.5,39.5,34.5
dinJ CDS,dinJ,b0226,86.5,50.5,10.5,498.5,282.5,794.5,204,326.5,639,314.5,457,1259,408,852.5,771.5,281.5,223.5,239
dinQ CDS,dinQ,b4613,4,2,0,801,279,2210,430,185,4011.5,197.5,1721.5,3241,486,2951.5,2239.5,159.5,121,191.5
djlA CDS,djlA,b0055,1,4,10,1327,755,846,169,847,1024,979,1451,2213,396,1726,1461,153,176,226
djlB CDS,djlB,b0646,6,2,8.5,1095,725,12,20.5,671,56.5,668,621.5,137.5,234.5,89,49,6.5,9,6
djlC CDS,djlC,b0649,1,4,14.5,1645,1071.5,189,39.5,790,426,531,763.5,666,310,403,337.5,23.5,15,25.5
dkgA CDS,dkgA,b3012,11,5,15,2137.5,1074.5,641,149,612,1060,757,1678,1406,497,893,576,123.5,98.5,135.5
dkgB CDS,dkgB,b0207,4,4,3.5,857,468.5,877.5,162.5,368.5,1165,287.5,752.5,1261,430.5,963,556.5,154.5,136,263.5
dksA CDS,dksA,b0145,86.5,8,16,1944,1197.5,13153.5,678,853.5,14207,840.5,7778,12661.5,1343,9903.5,7456,4515,3587.5,5328.5
dld CDS,dld,b2133,15,11,32,3372.5,1709,6640.5,848,1427.5,8175.5,2177,5808.5,11141,1560.5,8580.5,9495.5,585,558.5,972.5
dmlA CDS,dmlA,b1800,3,8,10,2117.5,1268.5,204.5,26,952.5,268,1155,1251,360,386,241.5,142,20,40,41
dmlR CDS,dmlR,b1799,14,3,17,1269.5,959,429.5,48,771.5,478,898.5,1112.5,704,317,536.5,336,42,56.5,65
dmsA CDS,dmsA,b0894,15,14,17.5,2935,1749.5,312,90.5,1534,584,1285,1913,977,576.5,603,627,39,43,68
dmsB CDS,dmsB,b0895,0,0,5,739,371.5,98.5,15.5,368,201.5,311.5,505.5,254,143,257,156,13,33,18
dmsC CDS,dmsC,b0896,0,3.5,8.5,1318,632.5,186.5,26.5,440,353.5,430.5,517.5,449,244.5,308.5,230,43.5,55,45
dmsD CDS,dmsD,b1591,4.5,4,2,1145.5,702,565.5,132.5,631,889.5,565.5,1215,1823,342.5,1429,1113.5,85,74.5,73
dnaA CDS,dnaA,b3702,40.5,16,48,4649.5,2972,22401.5,2082.5,2817.5,20608,2805,13256.5,27192,3407.5,22005.5,23196.5,1787,1882.5,2672
dnaB CDS,dnaB,b4052,5.5,4,5.5,2803.5,1887,4643,494.5,1440.5,3847,2052,4758,7692,1135,5825.5,7701,231.5,253.5,332.5
dnaC CDS,dnaC,b4361,4.5,5,22,1170,740.5,2160,314.5,543,2577,553,1852.5,3989.5,568.5,2845,2484.5,139.5,147.5,263
dnaE CDS,dnaE,b0184,15,28.5,35.5,6423.5,3515.5,11039.5,1268.5,3318.5,10036,3895.5,9475,16811,2617,12236.5,16028,804,876.5,1131
dnaG CDS,dnaG,b3066,110,81.5,78.5,3348,2367,6521,1502,2329,7614,2284,3954,11287.5,2760.5,8473.5,7899,1478,1491.5,1896.5
dnaJ CDS,dnaJ,b0015,30,27.5,61,3338,1544.5,7451.5,5830.5,3700.5,80210.5,7633,5223.5,94877.5,2345.5,70154,81848,1284,1391.5,1572.5
dnaK CDS,dnaK,b0014,102,82.5,302,7089.5,2534,43010,40101,15280.5,785270.5,30145,20752,570322.5,12280.5,458448,420415,9306.5,9138,11341.5
dnaN CDS,dnaN,b3701,17.5,6,36.5,3015.5,2179.5,11658.5,1004.5,1823.5,9502,1701,7205,13793.5,2158.5,10523.5,11778,932.5,913.5,1256.5
dnaQ CDS,dnaQ,b0215,4.5,4,3,811,414.5,1501,178,351,2443,391,1289,2476.5,379.5,1905,1373.5,196.5,177.5,219.5
dnaT CDS,dnaT,b4362,0,4,4,779,683.5,1187.5,260,423,1572.5,486.5,1282,2411.5,451.5,1678,1676.5,125.5,151,173.5
dnaX CDS,dnaX,b0470,9.5,9,20,3305.17,1841.83,6200,659.83,1708.33,4808.5,1983.17,5877.5,10815.5,1370.17,8035.33,9795,363,380.5,557
dnaX CDS,dnaX,b0470,6,5.5,29.5,1890.17,986.83,2677,345.33,952.33,2307,1147.17,3089.5,5777,668.67,4253.33,4999,172,161.5,247
dosC CDS,dosC,b1490,44.5,24,18,1163,690,145,79.5,611.5,352.5,717.5,793,483.5,305.5,317,182.5,17,15,31.5
dosP CDS,dosP,b1489,8,17.5,43,3871,2402.5,169,92,1885.5,310.5,1995.5,1871,755,686,487,313.5,15,42,13
dpiA CDS,dpiA,b0620,0,3.5,6.5,728,538.5,425.5,58.5,390,441,506,648.5,672.5,218.5,580,568,27.5,39,34
dpiB CDS,dpiB,b0619,3,5.5,8.5,2126,1575,917.5,123,1186,1048,1275,1574.5,1565,535,1144,1157.5,91.5,103,91
dppA CDS,dppA,b3544,26,33,71,12780,3398,21290,3820,2530,21743,7739,14948,44198,6822,28390,34339,2734,3200,4977
dppB CDS,dppB,b3543,2.5,7,31,3381.5,1629,2964.5,487.5,1087.5,2157.5,1755,2835.5,3896.5,1104.5,2487,3696.5,213.5,356,529
dppC CDS,dppC,b3542,7.5,2,27,4221,1807,2715,331,1196,1710.5,1675.5,3006.5,2663,1082.5,1753.5,2511.5,214,261.5,494.5
dppD CDS,dppD,b3541,2.5,15,34,4415,1733,5323.5,548.5,1176.5,3264.5,1970,3718.5,4228.5,1468.5,3094,3497.5,369.5,378,650
dppF CDS,dppF,b3540,6.5,6,19,3982,1825,4247,582,1093,3022.5,1764.5,3481.5,3653.5,1553.5,2552.5,2656.5,273.5,335,493.5
dps CDS,dps,b0812,507,446,370,39017,12937,130265,37053,7881,260729,11927,131606,274575,34798,188863,109630,3512,3317,3955
dsbA CDS,dsbA,b3860,5.5,6,17,1435.5,898,2605,191.5,617,1855.5,602,2485.5,2291,653.5,1638.5,1090.5,3374.5,3470.5,4822.5
dsbB CDS,dsbB,b1185,5,4,3,1171.5,716,344.5,145,590.5,476,756,882,995,363.5,499.5,494.5,277,218,317
dsbC CDS,dsbC,b2893,22,10.5,11.5,1458.5,940.5,4260,317,705.5,3901.5,653,3670.5,5254.5,742.5,4128.5,4556.5,466.5,460.5,617.5
dsbD CDS,dsbD,b4136,10.5,7.5,26,3390,1985.5,997,170.5,1124.5,794.5,1134.5,1905.5,1982,697,1295,1121,102.5,129.5,146.5
dsbG CDS,dsbG,b0604,3,2,10,825,642,448,159,604,567,656,838,1271,358,930,609,39,47,59
dsdA CDS,dsdA,b2366,10.5,7,14.5,1623.5,1124,595.5,66.5,723,744.5,569,1312,1058.5,519,653.5,506.5,59,44.5,56
dsdC CDS,dsdC,b2364,4,5,5,814,583,89,49,401,180,351,483,375,154,224,150,19,17,29
dsdX CDS,dsdX,b2365,0.5,11,8.5,1501.5,975,78.5,27.5,675,170,526,711,272.5,350,159.5,135.5,20,15.5,14
dsrB CDS,dsrB,b1952,1,0.5,3,226,157.5,75,44,136.5,137,130,178,368.5,72.5,208.5,263,34.5,48.5,47
dtd CDS,dtd,b3887,14,4,8.5,1181,609,1742.5,162.5,304.5,1696,445.5,1670.5,2091.5,388,1630.5,1475,190.5,222.5,244
dtpA CDS,dtpA,b1634,4,4,3,1440,1190.5,1451,314,911.5,3249.5,579,3143,9158.5,608,5985,5166.5,469,432,556
dtpB CDS,dtpB,b3496,100.5,32,40,3040,2121,594.5,220,1050.5,1193.5,1021.5,1796.5,1808,573,1286.5,1238,151,125.5,126.5
dtpC CDS,dtpC,b4130,0,4.5,15,2011.5,1437,258.5,39.5,706,322,614.5,1067,557,371,336,355.5,62,35,64
dtpD CDS,dtpD,b0709,8,10,8,2631,1382,238,112,1335,444,1655,1774,993,613,642,639,213,167,259
dusA CDS,dusA,b4049,4,3,11.5,2130.5,1299,1915,315.5,1032,1897,1071,2318.5,4019.5,707.5,2678,2441.5,209.5,197.5,225
dusB CDS,dusB,b3260,17,11,30,2351,1877.5,15625,3069.5,2363.5,15053.5,2357.5,5422,17814.5,3596.5,13150.5,17133,3295,2905,3963
dusC CDS,dusC,b2140,2,1,13,1714,1200,655,85,811,760,966,1257,1031,353,697,710,134,114,152
dut CDS,dut,b3640,7,1.5,5,1056.5,673,1750.5,218,487,1651.5,368,1582.5,2790.5,531.5,1632,1237,210.5,223,329
dxr CDS,dxr,b0173,16,6,11,1941,1165.5,3010,415.5,1295,3026.5,1198,3376.5,7831,795,5623.5,6384,728.5,862.5,1095
dxs CDS,dxs,b0420,34.5,20.5,42,3733,2395,6893.5,1321,2493.5,8094.5,3088,7596,21173.5,2432.5,15373.5,17588,941.5,1129.5,1313.5
eaeH CDS,eaeH,b0297,0,0,0,2.5,3,0.5,0,1,0.5,1,4.5,5.5,1,1.5,2.5,0,0.5,0
eamA CDS,eamA,b1533,0,2,9,1468,938.5,1324.5,235,559.5,1647,724,2010.5,3726.5,506.5,2705.5,2599,59,146.5,119.5
eamB CDS,eamB,b2578,2,1,6,754,490.5,21.5,9,306.5,38,362.5,350.5,126.5,157,75,39.5,23,24,32
ebgA CDS,ebgA,b3076,12.5,24,35.5,5519.5,3455.5,126.5,84,2229.5,289.5,2179.5,2913.5,665,1034.5,475.5,318,44.5,53.5,80
ebgC CDS,ebgC,b3077,2.5,0,6.5,490,341,13.5,2.5,277,9.5,241,326,39,98.5,23.5,4,1.5,8.5,3
ebgR CDS,ebgR,b3075,12,1,19,1492,931,128,119,656,286,755,874,838,383,514,306,45,32,54
ecnA CDS,ecnA,b4410,0,0,4.5,223.5,137.5,319,74.5,115.5,318,148.5,246.5,721.5,124.5,469,402,29.5,33.5,25
ecnB CDS,ecnB,b4411,28,29,2,323.5,277.5,511,118,194.5,393.5,199.5,832,783,208.5,466,732,480,416.5,372
eco CDS,eco,b2209,8,14,14,1098,647.5,445,69.5,418,1348.5,487.5,1429.5,2665.5,315,1684,1416,254,189,318
ecpA CDS,ecpA,b0293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecpB CDS,ecpB,b0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecpC CDS,ecpC,b0291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecpD CDS,ecpD,b0290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecpE CDS,ecpE,b0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecpR CDS,ecpR,b0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eda CDS,eda,b1850,22.5,17.5,27,3587.5,1870,14456.5,1028,1621.5,21739.5,1523.5,15009.5,28275.5,2122.5,19749.5,14684,2841.5,2173.5,3221.5
edd CDS,edd,b1851,16,8,20,4549.5,2499,11122.5,825.5,1733,12443.5,1775,8327,14396,1926.5,11608.5,8636.5,942.5,803.5,1096.5
efeB CDS,efeB,b1019,6,9,34,2419.5,1503.5,2524,370,1389,2629,1817.5,2843.5,6516,1008.5,4681,6136.5,58,51,102
efeO CDS,efeO,b1018,0,15,20,2030,1337,4534.5,478.5,1412.5,3643,1558.5,3108,9043.5,1340,6699.5,9176,93.5,100,123.5
efeU CDS,efeU,b4490,13,4,18,1782.5,1148.5,2727.5,508.5,1118.5,1926,1400,2571.5,7501.5,926.5,5430.5,6628.5,57.5,89,94.5
efp CDS,efp,b4147,11,2,19.5,1492.5,924.5,4416,591,826,3990,577,2201.5,6047,1189.5,4456,3406,950.5,800.5,1068
elaA CDS,elaA,b2267,2,2,7.5,729,446.5,363,78,326,641,335,420.5,815.5,257.5,549,435,73.5,75,63.5
elaB CDS,elaB,b2266,38,14,9.5,868,512,1416.5,310,459,2015.5,384,2132.5,3143.5,537.5,2284.5,1762.5,639.5,660,717
elaD CDS,elaD,b2269,0,0,0,167.5,154,23,13,174.5,17,167.5,290.5,260.5,52,80,60,2,2,2
elbB CDS,elbB,b3209,2,2.5,8.5,898.5,640,2621,186.5,545,2613,659.5,1662,2888.5,369,2175.5,1829,366,433,536.5
elfA CDS,elfA,b0938,0,0,0,201,193.5,25.5,10,149.5,11.5,70,117.5,112.5,54,45.5,31.5,9,2,5.5
elfC CDS,elfC,b0940,16.5,17,16.5,2639,1809.5,179.5,50,1202,317.5,1107.5,1266,491.5,484,347.5,330,25,19.5,20
elfD CDS,elfD,b0939,1.5,1.5,4,503,352.5,13,4,278.5,19.5,198.5,194,98.5,84,32,24,6,4,1.5
elfG CDS,elfG,b0941,4,5,11.5,1234,749,102,37.5,498,268.5,478.5,472.5,386,236,243,168.5,15,11.5,19.5
elyC CDS,elyC,b0920,6,1,8,983.5,669,264.5,61,545.5,392,496,650.5,809,234.5,586,495,179,118,240.5
emrA CDS,emrA,b2685,11,5,10,1926.5,1215.5,765.5,115.5,800,783,585,932.5,927,444.5,651,759.5,158.5,165.5,214.5
emrB CDS,emrB,b2686,33,7,11,2505.5,1627,836,164,1040.5,1026.5,1220.5,1629,1759.5,529.5,1138.5,1099.5,176,225,218
emrD CDS,emrD,b3673,8.5,12,13,3722.5,1842,645,61,1444.5,1077,1680.5,3963.5,1917,615,1533,820,182,136.5,167.5
emrE CDS,emrE,b0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emrK CDS,emrK,b2368,0,0,6,394.5,359,13,4,290.5,24,192,213.5,83,116.5,48,23.5,3,3,10
emrY CDS,emrY,b2367,4,3,7,600.5,589,19,16,410.5,29.5,462,516.5,140,154.5,44,77.5,13,8,12
emtA CDS,emtA,b1193,13,1.5,14,1067,579,1270,121,463.5,2035.5,602,1176,1966,326,1625.5,981.5,355.5,339,469
endA CDS,endA,b2945,6,7.5,10,1289,722.5,172.5,44,548,216.5,617,788,498.5,239.5,386,379,45.5,56,78.5
eno CDS,eno,b2779,157.5,48,80.5,11144,4810,61590.5,4050.5,4808,74651,3749.5,38214,71908,8012,54810.5,55135.5,7277.5,6346.5,10414
entA CDS,entA,b0596,6.5,11.5,5.5,1904.5,1125.5,9835.5,569,1182,11976,2079.5,8785,28932,1020.5,18968.5,30575,1747.5,1883.5,2563.5
entB CDS,entB,b0595,12.5,6,13.5,2458.5,1273,13794.5,959.5,1475,16821,2797,12031.5,34697,1530,24141.5,35534,2395,2454.5,3280
entC CDS,entC,b0593,7,8,29,3506.5,1683,15065.5,2239,1622.5,24055,2842.5,12915,40774.5,2384.5,28422.5,27362.5,2132.5,1978.5,2997
entD CDS,entD,b0583,4,1,5,788,577,481,126,466,635,636,712,1744,262,1313,1764,113,122,171
entE CDS,entE,b0594,16,7.5,25.5,4326,1964.5,21026,1962.5,2042,27533,3858.5,19316,55741,2567,38816.5,46317,2822,2891.5,4407.5
entF CDS,entF,b0586,27,22,27.5,7688.5,4802.5,4609.5,653,3712,6720,4381,7703,14538,1795.5,10917,12646.5,3516.5,3834.5,5259.5
entH CDS,entH,b0597,3,1,5.5,1052.5,580,5877.5,453,639.5,5656,1309.5,4765.5,13977.5,906,10322,17694.5,663,687,971
entS CDS,entS,b0591,5,7,12,2302.5,1573,1311.5,193.5,1169,1842.5,1150.5,2183,3933,582,2607.5,2644,306.5,251.5,241
envC CDS,envC,b3613,5.5,11.5,18.5,4011.5,2369.5,3960,464,1734.5,4277.5,1417.5,3690.5,5327.5,1160,3849.5,4309.5,227,258,363
envR CDS,envR,b3264,2,2,2,414.5,223.5,12,2.5,266,12.5,209,298.5,76.5,82,19,13,5,9.5,7.5
envY CDS,envY,b0566,4,2,7,903,706,40,31,422,75,359,405,155,177,86,70,10,15,19
envZ CDS,envZ,b3404,1,5,19.5,3847,2113,1575,141.5,1259.5,1336,1183,2939.5,1971,690.5,1521.5,1462.5,304.5,255,363
epd CDS,epd,b2927,23,23,10.5,1829.5,1029.5,4698.5,501.5,938,6264.5,1165.5,3358,5749,1182,4169,4459,487,513.5,638
