gene,b_accession
wcaB,b2058
wcaA,b2059
wzc,b2060
wzb,b2061
wza,b2062
yegP,b2080
yegQ,b2081
ryeE,b4438
ogrK,b2082
yegZ,b2083
yegR,b2085
yegS,b2086
gatR,b4498
insE-5,b2088
insF-5,b2089
gatD,b2091
gatC,b2092
gatB,b2093
gatA,b2094
gatZ,b2095
gatY,b2096
yejO,b2190
insH-8,b2192
intS,b2349
yfdG,b2350
yfdH,b2351
yfdI,b2352
tfaS,b2353
yfdK,b2354
yfdL,b2355
yfdM,b2356
yfdN,b2357
yfdO,b2358
yfdP,b2359
yfdQ,b2360
yfdR,b2361
yfdS,b2362
yfdT,b2363
ypdJ,b4545
yfeO,b2389
ypeC,b2390
mntH,b2392
nupC,b2393
insL-3,b2394
yfeA,b2395
intZ,b2442
yffL,b2443
yffM,b2444
yffN,b2445
yffO,b2446
yffP,b2447
yffQ,b2448
yffR,b2449
yffS,b2450
intA,b2622
yfjH,b2623
alpA,b2624
yfjI,b2625
yfjJ,b2626
yfjK,b2627
yfjL,b2628
yfjM,b2629
yfjN,b2630
yfjO,b2631
yfjP,b2632
yfjQ,b2633
yfjR,b2634
ypjK,b2635
yfjS,b2636
yfjT,b2637
yfjU,b2638
ypjL,b2639
yfjV,b2640
ypjM,b2641
yfjW,b2642
yfjX,b2643
yfjY,b2644
ypjJ,b4548
yfjZ,b2645
ypjF,b2646
ypjA,b2647
pinH,b2648
ypjB,b2649
ypjC,b2650
ileY,b2652
ygaQ,b2654
ygaR,b4462
yqaC,b2657
yqaD,b2658
ygaT,b2659
ygaF,b2660
ygeL,b2856
ygeM,b2857
ygeN,b2858
ygeO,b2859
insD-4,b2860
insC-4,b2861
ygeP,b2862
ygeQ,b2863
endA,b2945
yghD,b2968
ygh,b2969
yghF,b2970
yghG,b2971
pppA,b2972
yghJ,b4466
glcA,b2975
glcB,b2976
glcG,b2977
glcF,b4467
glcE,b4468
glcD,b2979
glcC,b2980
yghO,b2981
insH-9,b2982
yghQ,b2983
yghR,b2984
yghS,b2985
yghT,b2986
pitB,b2987
yqiC,b3042
ygiL,b3043
insC-5,b3044
insD-5,b3045
yqiG,b3046
yqiH,b3047
yqiI,b3048
yhcA,b3215
yhcD,b3216
yhcE,b4569
insH-10,b3218
yhcF,b3219
gspA,b3323
gspC,b3324
gspD,b3325
gspE,b3326
gspF,b3327
gspG,b3328
gspH,b3329
gspI,b3330
gspJ,b3331
gspK,b3332
gspL,b3333
gspM,b3334
gspO,b3335
bfr,b3336
bfd,b3337
chiA,b3338
yhhY,b3441
yhhZ,b3442
yrhA,b3443
insA-6,b3444
insB-6,b3445
yrhB,b3446
rhsB,b3482
yhhH,b3483
yrhC,b4552
yhhI,b3484
yhiS,b3504
insH-11,b3505
insJ,b3557
insK,b3558
rhsA,b3593
yibA,b3594
yibJ,b3595
yibG,b3596
intB,b4271
insC-6,b4272
insD-6,b4273
